n,t,i,p,u,v,w
228,0.11999999999999998,1,0.09823911031847832,1.2310236190924905e-07,1.2302420779780018e-07,1.7926848597533173e-07
229,0.11999999999999998,1,0.10080529980360356,0.001240118771916288,0.0012432908845697807,0.001272644684745269
230,0.11999999999999998,2,0.09878197325196938,0.0004082994738921038,0.0004090453745626729,0.00046624005807522636
231,0.11999999999999998,1,0.1003463238529352,0.0009990789140827355,0.0010004090813435658,0.001014959422073169
232,0.11999999999999998,2,0.09928868470372641,0.0003725030046187287,0.0003724173533729673,0.00041417725883420234
233,0.11999999999999998,1,0.09858534745390347,0.0003610829342135714,0.00036164782598551896,0.0003337456644277316
234,0.11999999999999998,1,0.09892191694548062,0.0007638822970587521,0.000762775207780584,0.0006335418234185326
235,0.11999999999999998,1,0.09828588172500217,3.31687623487024e-07,3.331949615864106e-07,4.3047728040073564e-07
236,0.12999999999999998,1,0.09828583001260208,1.4226238237034212e-07,1.4228972443113918e-07,1.7684944616332317e-07
237,0.12999999999999998,1,0.10053093698815636,0.0013708804104952072,0.0013731735203596136,0.001118704419624038
238,0.12999999999999998,2,0.09873264211798599,0.0004908274995919662,0.0004908659542462322,0.00041639673396179794
239,0.12999999999999998,1,0.09979888320434724,0.0011146639557090097,0.001114779426557719,0.0008769835297689271
240,0.12999999999999998,1,0.0985554425623891,0.00024426676270936,0.00024373870562784464,0.00021283201142762443
241,0.12999999999999998,1,0.09871473573550553,0.0008644763097966197,0.0008622898639754519,0.0006422456729835264
242,0.12999999999999998,1,0.098369276495117,5.583366714675225e-07,5.620234397554128e-07,5.098932009042158e-07
243,0.13999999999999999,1,0.09836299765616227,2.1435983701517882e-07,2.1519772046975837e-07,2.0082907783789703e-07
244,0.13999999999999999,1,0.09992164118299063,0.0014201230231017492,0.0014221886914386266,0.0010068852175087147
245,0.13999999999999999,1,0.0999148843778368,0.0015638101288205863,0.001566073283101386,0.001098899549517825
246,0.13999999999999999,1,0.09851908205444296,0.00031127218077639464,0.0003101768025492676,0.00023256054571791688
247,0.13999999999999999,1,0.0983564390499249,0.0008664488010617529,0.0008641530777906704,0.00059574034568311
248,0.13999999999999999,1,0.09803691069402119,8.501347281782508e-07,8.574090367826068e-07,6.630961740822359e-07
249,0.15,1,0.09800966599053877,3.0641462548949155e-07,3.0787688427216656e-07,2.452692317304994e-07
250,0.15,1,0.09858602494624691,0.0013898635990805968,0.0013934408806008192,0.0009159645365590206
251,0.15,1,0.09819886760561712,0.0015474279162393995,0.0015525947157116104,0.001001984550865876
252,0.15,1,0.0973358661222903,0.00032382429851351746,0.0003238218054013056,0.0002132834448652541
253,0.15,1,0.09637691248518612,0.0008712041086544785,0.0008710256387312598,0.0005524116326533533
254,0.15,1,0.09605779515804008,8.443699939074343e-07,8.524396897623518e-07,6.155011752461032e-07
255,0.16,1,0.0960391966984967,3.0076787276020357e-07,3.023027069325442e-07,2.2730705329475158e-07
256,0.16,1,0.09543158079811787,0.0013756427730518353,0.0013823021969695528,0.000854476553357772
257,0.16,1,0.09439922479286901,0.0015489912038769524,0.0015587332791000758,0.0009396100823562666
258,0.16,1,0.09393381917598968,0.000327700020911788,0.00032868915729662056,0.00019361690162877457
259,0.16,1,0.09204125851830078,0.0008857901813352257,0.0008874481262656077,0.0005388312447337666
