n,t,i,p,u,v,w
189,0.08,1,0.09933949715641768,0.0006829972105801222,0.0006833408981477729,0.001673315251499679
190,0.08,1,0.10023463851894669,0.0006814815202159429,0.0006822564434276078,0.0017726640569666787
191,0.08,2,0.09901152186802822,0.00023137035030712448,0.00023211596584779933,0.0006850826478949297
192,0.08,1,0.09779592639209475,0.00022818800399342535,0.00022783416510425796,0.00046300826884678045
193,0.08,1,0.09849716460262746,0.0004972875705709324,0.0004977472706139981,0.00098919410798052
194,0.08,1,0.09786958235815243,2.3729633280910575e-07,2.3796279879108367e-07,6.045658392464648e-07
195,0.09,1,0.09781723810884324,1.269022342857093e-07,1.270514517833597e-07,2.5464517999400735e-07
196,0.09,1,0.10080915034633495,0.0007662590645158762,0.0007670305680643861,0.001671290565769529
197,0.09,2,0.09932580628488226,0.00024262852328914302,0.00024294427350095304,0.0006247154430847837
198,0.09,1,0.10148818513519071,0.0006140625728607006,0.0006144751768573025,0.0013895907391897621
199,0.09,2,0.10081086536532642,0.00021972038801608103,0.00022004744389566086,0.0005790409571029222
200,0.09,3,0.1005190101403604,0.00011365248598137706,0.00011391498572433711,0.00028102062190759095
201,0.09,4,0.10023060196458668,8.683668477764668e-05,8.699589290249871e-05,0.0001525302601943493
202,0.09,5,0.09995143363995093,8.239718632018506e-05,8.24763134329376e-05,0.0001043695498557128
203,0.09,1,0.09887696986741094,0.00028829710667854525,0.000288415793241367,0.0005673988179243554
204,0.09,1,0.09964026992644556,0.000587782109186081,0.0005874847681804075,0.0008751512908589605
205,0.09,1,0.09846265285628791,2.1389038629852233e-07,2.1454388784998222e-07,4.079977671988144e-07
206,0.09999999999999999,1,0.0984135176628296,1.2393602570202103e-07,1.2416705251698124e-07,1.9814438956873938e-07
207,0.09999999999999999,1,0.1019783368702757,0.0008966959002511872,0.0008971392501501595,0.0015889075316422193
208,0.09999999999999999,2,0.10011577682116243,0.0002803072527444701,0.00028084995950899836,0.000591507962558897
209,0.09999999999999999,3,0.0997940286964033,0.00012661587085559912,0.00012698791700790565,0.0002687799169038912
210,0.09999999999999999,1,0.10216526442013377,0.0006425659738414202,0.0006427505449350297,0.0011243494993881285
211,0.09999999999999999,2,0.1011871229422572,0.00021846511176720266,0.00021892462381354046,0.00044801662078268033
212,0.09999999999999999,3,0.10095628976912377,0.00011204276654691642,0.00011226010696319328,0.00021449322548913678
213,0.09999999999999999,4,0.10071571987269388,8.752706198927709e-05,8.74728381106e-05,0.00012387753101199698
214,0.09999999999999999,5,0.10047252177845084,8.444478270091819e-05,8.436729081298814e-05,9.728099175697024e-05
215,0.09999999999999999,6,0.10023977660844374,8.56411863861532e-05,8.550328864734646e-05,9.398115474405575e-05
216,0.09999999999999999,7,0.1000227478116028,8.762292129757903e-05,8.751905737324037e-05,9.604812091705493e-05
217,0.09999999999999999,8,0.0998418602848797,8.969623054906942e-05,8.95258783177815e-05,9.859852934932877e-05
218,0.09999999999999999,1,0.09940947337842902,0.0003277321191253171,0.00032799231700101115,0.0005231886479604996
219,0.09999999999999999,1,0.09848554203619413,0.0007640236754911745,0.0007630042345899403,0.000851405148026194
220,0.09999999999999999,1,0.09668640954701661,2.678287821734411e-07,2.673271512178386e-07,3.918489826563911e-07
221,0.10999999999999999,1,0.09668566666070129,1.632812158644572e-07,1.6288738948713318e-07,2.0972715907921532e-07
222,0.10999999999999999,1,0.09895406213420668,0.0010728125949592718,0.0010742903151698556,0.0013856379881529654
223,0.10999999999999999,1,0.09972965711905785,0.0010686485885429546,0.0010708875624400806,0.0014475362153693664
224,0.10999999999999999,1,0.09728129621496887,0.00023254260838690853,0.00023214488674134373,0.0002790058552382357
225,0.10999999999999999,1,0.0984806917383197,0.000748950921825127,0.0007486182695997174,0.0008286623175465136
226,0.10999999999999999,1,0.09760610957192276,4.774770556970689e-07,4.802557790020161e-07,7.646284207299057e-07
227,0.11999999999999998,1,0.09760301853610068,2.270004480418939e-07,2.2770527731255776e-07,3.176961730863941e-07
228,0.11999999999999998,1,0.10089658711172475,0.0011720550888374296,0.0011728370492562357,0.0012498380589064477
229,0.11999999999999998,2,0.09900130636885027,0.000364604141814342,0.0003653262115293955,0.00045124346955894223
230,0.11999999999999998,1,0.10093506574231388,0.000919809471472115,0.000919809168829666,0.0009820209450942395
231,0.11999999999999998,2,0.09991421848190817,0.0003286300111181797,0.000328902558529317,0.0003999120388274747
232,0.11999999999999998,1,0.09888943836412337,0.0003584679816971719,0.0003579640787584091,0.0003338999381289079
233,0.11999999999999998,1,0.09955373132647058,0.0007562073356505117,0.000754106281230911,0.0006351981534294648
234,0.11999999999999998,1,0.0988699729228534,3.1208738106635986e-07,3.135268910601846e-07,4.2196111462254997e-07
235,0.12999999999999998,1,0.09883298418689794,1.4597022809768287e-07,1.463092965747251e-07,1.8620555592201087e-07
236,0.12999999999999998,1,0.10147269764598876,0.0012948607501007568,0.0012942624570990854,0.0010759339875120782
237,0.12999999999999998,2,0.09966188924046146,0.0004467054861951681,0.00044711129586115294,0.00040043364421179633
238,0.12999999999999998,1,0.10095973867933243,0.0010489141015113405,0.0010480918876892753,0.0008526155225675303
239,0.12999999999999998,2,0.10022876093372454,0.00040596084362021814,0.0004061232592880268,0.00035289828893607806
240,0.12999999999999998,3,0.09993168529075777,0.00019285768499788532,0.00019306630772922896,0.00017693535178959016
241,0.12999999999999998,1,0.09919369506462275,0.00042099041224559665,0.0004199916593376323,0.00032985981899090824
242,0.12999999999999998,1,0.09890252261099113,0.0007540652785721254,0.0007523236510359243,0.0005299649255464324
243,0.12999999999999998,1,0.09827936416262638,3.058972745079376e-07,3.073377855472334e-07,3.274823053652713e-07
244,0.13999999999999999,1,0.09826454648060595,1.3698220222765606e-07,1.3739096742817555e-07,1.5001852229896256e-07
245,0.13999999999999999,1,0.09957918636750213,0.0013925530920563581,0.0013917108355084315,0.0009230880645100548
246,0.13999999999999999,1,0.09927416198577976,0.0015079904894334244,0.0015078794968327181,0.0009920801131383249
247,0.13999999999999999,1,0.09781275183556294,0.00028298511391048903,0.0002831100618111993,0.00020808259806738444
248,0.13999999999999999,1,0.09735338873284705,0.0008679427903007161,0.0008664328380158531,0.0005780072050788485
249,0.13999999999999999,1,0.09700914024711862,8.012627567083768e-07,8.040919959345984e-07,5.618923251888433e-07
250,0.15,1,0.09699211463405216,3.0231645500684633e-07,3.0248876866270437e-07,2.2267395281799492e-07
251,0.15,1,0.09734304940926847,0.0014091292602337138,0.0014099740917145958,0.0008588769257736471
252,0.15,1,0.09666327611827039,0.0015435506431053041,0.0015453960546774987,0.0009201993574599046
253,0.15,1,0.095863908682671,0.0003056879655951636,0.00030639285308735337,0.0001946903167347912
254,0.15,1,0.09456107790236158,0.0008721380847259381,0.0008705550580438516,0.0005361922254341782
